video_id,query_id,query_text,time,detector_score,crop_score
video_01,q003,a yellow car,164.0,0.6815399527549744,0.07478964328765869
video_01,q001,a man with a red backpack,165.0,0.27367424964904785,0.022206952795386314
video_01,q002,a cyclist,165.0,0.39365077018737793,0.07146675884723663
video_01,q003,a yellow car,165.0,0.6968832015991211,0.07065676152706146
video_01,q001,a man with a red backpack,166.0,0.0,
video_01,q002,a cyclist,166.0,0.3916647732257843,0.06494234502315521
video_01,q003,a yellow car,166.0,0.6977824568748474,0.07228933274745941
video_01,q001,a man with a red backpack,167.0,0.25956061482429504,0.035018689930438995
video_01,q002,a cyclist,167.0,0.39057624340057373,0.10695503652095795
video_01,q003,a yellow car,167.0,0.6793554425239563,0.07276464998722076
video_01,q001,a man with a red backpack,168.0,0.2556469738483429,0.02080504596233368
video_01,q002,a cyclist,168.0,0.3763446509838104,0.09802607446908951
video_01,q003,a yellow car,168.0,0.5735719799995422,0.08046913146972656
video_01,q001,a man with a red backpack,169.0,0.2726120352745056,0.01964307576417923
video_01,q002,a cyclist,169.0,0.3686024844646454,0.1057232916355133
video_01,q003,a yellow car,169.0,0.6033747792243958,0.0764116570353508
video_01,q001,a man with a red backpack,170.0,0.0,
video_01,q002,a cyclist,170.0,0.35769927501678467,0.10296662151813507
video_01,q003,a yellow car,170.0,0.70790696144104,0.07949575781822205
video_01,q001,a man with a red backpack,171.0,0.0,
video_01,q002,a cyclist,171.0,0.4122333526611328,0.10379117727279663
video_01,q003,a yellow car,171.0,0.7559179067611694,0.061897389590740204
video_01,q001,a man with a red backpack,172.0,0.0,
video_01,q002,a cyclist,172.0,0.39731302857398987,0.08543695509433746
video_01,q003,a yellow car,172.0,0.7438094019889832,0.07807940244674683
video_01,q001,a man with a red backpack,173.0,0.2781651020050049,-0.004258830100297928
video_01,q002,a cyclist,173.0,0.42635345458984375,0.09895403683185577
video_01,q003,a yellow car,173.0,0.7314150333404541,0.06451570242643356
video_01,q001,a man with a red backpack,174.0,0.0,
video_01,q002,a cyclist,174.0,0.39506998658180237,0.09310538321733475
video_01,q003,a yellow car,174.0,0.7436649799346924,0.06568695604801178
video_01,q001,a man with a red backpack,175.0,0.3052951991558075,0.0361102819442749
video_01,q002,a cyclist,175.0,0.3786361515522003,0.09230530261993408
video_01,q003,a yellow car,175.0,0.7486823797225952,0.08755212277173996
video_01,q001,a man with a red backpack,176.0,0.30461248755455017,0.02610369771718979
video_01,q002,a cyclist,176.0,0.38208162784576416,0.10334130376577377
video_01,q003,a yellow car,176.0,0.7278489470481873,0.08847879618406296
video_01,q001,a man with a red backpack,177.0,0.0,
video_01,q002,a cyclist,177.0,0.3748740255832672,0.09516800940036774
video_01,q003,a yellow car,177.0,0.783958911895752,0.08857711404561996
video_01,q001,a man with a red backpack,178.0,0.0,
video_01,q002,a cyclist,178.0,0.38244402408599854,0.08597096800804138
video_01,q003,a yellow car,178.0,0.7603026628494263,0.08860796689987183
video_01,q001,a man with a red backpack,179.0,0.0,
